itemLabel,date_de_naissance,sexe_ou_genreLabel,lieu_de_naissanceLabel,image,latitude,longitude
Crimean Tom,1847-01-01T00:00:00Z,mâle,Sebastopol,http://commons.wikimedia.org/wiki/Special:FilePath/Crimean%20Tom.jpg,44.5655503,33.45959860374677
Nitama,2010-01-01T00:00:00Z,femelle,Okayama,http://commons.wikimedia.org/wiki/Special:FilePath/Stationmaster%20NITAMA%2020110105.jpg,34.8581334,133.7759256
Sero,2005-01-01T00:00:00Z,male,Ankara,http://commons.wikimedia.org/wiki/Special:FilePath/%C5%9Eero%20CHP.jpg,39.9207886,32.8540482
Mittens,2010-01-01T00:00:00Z,male,Auckland,http://commons.wikimedia.org/wiki/Special:FilePath/Mittens%20the%20cat%20of%20wellington.jpg,-36.852095,174.7631803
Apelmon,2006-07-27T00:00:00Z,male,Ukraine,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%BA%D0%B0%20%D0%94%D1%96%D0%B4%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%B7%20%D0%BA%D0%BE%D1%82%D0%BE%D0%BC%20%D0%90%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%BE%D0%BD%D0%BE%D0%BC.jpg,49.4871968,31.2718321
Willow,2019-01-01T00:00:00Z,femelle,Volant,http://commons.wikimedia.org/wiki/Special:FilePath/Willow%20the%20First%20Cat.png,18.3936173,-72.3826268
the pet from Borodianka,2010-01-01T00:00:00Z,femelle,Borodianka,http://commons.wikimedia.org/wiki/Special:FilePath/Rescue%20of%20a%20cat%20in%20Borodianka%2C%202%20May%202022%20%284%29.jpg,50.6437677,29.9278296
CC,2001-12-22T00:00:00Z,femelle,College Station,http://commons.wikimedia.org/wiki/Special:FilePath/Ccandowner2003.jpg,30.5955289,-96.3071042
Orangey,1950-01-01T00:00:00Z,male,Etats-Unis,http://commons.wikimedia.org/wiki/Special:FilePath/Orangey%20with%20Audrey%20Hepburn%20in%20Breakfast%20at%20Tiffanys.jpg,39.7837304,-100.445882
Sam l'insubmersible,1940-01-01T00:00:00Z,male,Allemagne,http://commons.wikimedia.org/wiki/Special:FilePath/Unsinkable%20Sam%20portrait.jpg,51.1638175,10.4478313
Tama,1999-04-29T00:00:00Z,femelle,Kinokawa,http://commons.wikimedia.org/wiki/Special:FilePath/Station-Master%20Tama.JPG,34.2697102,135.3636692
Socks,1989-01-01T00:00:00Z,male,Little Rock,http://commons.wikimedia.org/wiki/Special:FilePath/Socks%20the%20Cat%20Explores.jpg,34.7465071,-92.2896267
India,1990-07-13T00:00:00Z,femelle,Etats-Unis,http://commons.wikimedia.org/wiki/Special:FilePath/India%20the%20Cat%20Miss%20Beazley%20and%20Barney%20Halloween%202007%20%28cropped%29.jpg,39.7837304,-100.445882
India,1990-07-13T00:00:00Z,femelle,Etats-Unis,http://commons.wikimedia.org/wiki/Special:FilePath/IndioCat.jpg,39.7837304,-100.445882
India,1990-07-13T00:00:00Z,femelle,Etats-Unis,http://commons.wikimedia.org/wiki/Special:FilePath/WhiteHousePets%2C%20ValentinesDay2007.jpg,39.7837304,-100.445882
Scarlett,http://www.wikidata.org/.well-known/genid/be71139efe1e1e5b0b567f25ce5f330e,femelle,New York,http://commons.wikimedia.org/wiki/Special:FilePath/ScarlettTheCat.jpg,40.7127281,-74.0060152
Freya,2009-04-01T00:00:00Z,femelle,Londres,http://commons.wikimedia.org/wiki/Special:FilePath/Freya%20the%20cat-20120615%20132253%20%28cropped%29.jpg,51.5073219,-0.1276474
Stubbs,1997-04-12T00:00:00Z,male,Talkeetna,http://commons.wikimedia.org/wiki/Special:FilePath/Mayor%20Stubbs.jpg,62.267644,-150.02952875707462
Grumpy Cat,2012-04-04T00:00:00Z,femelle,Morristown,http://commons.wikimedia.org/wiki/Special:FilePath/Grumpy%20Cat%20%2814556024763%29%20%28cropped%29.jpg,40.7970382,-74.4809868
Lil Bub,2011-06-21T00:00:00Z,femelle,Bloomington,http://commons.wikimedia.org/wiki/Special:FilePath/Lil-Bub-2013.jpg,39.1670396,-86.5342881
Buurtpoes Bledder,2011-01-01T00:00:00Z,male,Pays-Bas,http://commons.wikimedia.org/wiki/Special:FilePath/Buurtpoesbledder.jpg,52.2434979,5.6343227
Palmerston,2014-01-01T00:00:00Z,male,Londres,http://commons.wikimedia.org/wiki/Special:FilePath/Palmerston%20%2826341788971%29.jpg,51.5073219,-0.1276474
Gladstone,2014-01-01T00:00:00Z,male,Londres,http://commons.wikimedia.org/wiki/Special:FilePath/Gladstone%20a%20year%20in%20Treasury%20%281%29.jpg,51.5073219,-0.1276474
Gli,2004-01-01T00:00:00Z,femelle,Sainte-Sophie,http://commons.wikimedia.org/wiki/Special:FilePath/Ayasofya%20Gli%20cat.jpg,45.818718,-73.8991887
